Word_Trad,Word_Sim,Stroke-1,Stroke-2,C&B-Subtitle-raw-C1,C&B-Subtitle-raw-C2,C&B-Subtitle-CD-C1,C&B-Subtitle-CD-C2,C&B-Subtitle-raw-W,C&B-Subtitle-CD-W
一刀,一刀,1,2,604056,4999,6240,1946,N/A,N/A
一口,一口,1,3,604056,21385,6240,5406,N/A,N/A
一分,一分,1,4,604056,48396,6240,6077,952,675
一切,一切,1,4,604056,28202,6240,5640,21709,5326
一心,一心,1,4,604056,83418,6240,6225,137,128
一手,一手,1,4,604056,75608,6240,6186,107,97
一斤,一斤,1,4,604056,369,6240,226,N/A,N/A
一半,一半,1,5,604056,10910,6240,4341,2633,1673
一旦,一旦,1,5,604056,3661,6240,2154,2922,1939
一生,一生,1,5,604056,162725,6240,6237,2437,1650
一共,一共,1,6,604056,7769,6240,3605,507,429
一再,一再,1,6,604056,78039,6240,6230,68,61
一同,一同,1,6,604056,42995,6240,6029,276,229
一向,一向,1,6,604056,24596,6240,5538,510,440
一早,一早,1,6,604056,26160,6240,5670,326,295
一些,一些,1,8,604056,113122,6240,6229,17133,4907
一併,一并,1,8,604056,26283,6240,5393,27,27
一來,一来,1,8,604056,377902,6240,6242,162,149
一味,一味,1,8,604056,11803,6240,4466,10,10
一定,一定,1,8,604056,81657,6240,6219,20273,5274
一直,一直,1,8,604056,46163,6240,6143,24551,5731
一則,一则,1,9,604056,8312,6240,3735,8,8
一度,一度,1,9,604056,17384,6240,5042,80,76
一律,一律,1,9,604056,12028,6240,3042,31,29
一流,一流,1,9,604056,11946,6240,4331,346,271
一致,一致,1,10,604056,6199,6240,3135,1087,826
一面,一面,1,9,604056,67015,6240,6200,887,663
一旁,一旁,1,10,604056,3900,6240,2429,129,121
一時,一时,1,10,604056,162611,6240,6240,583,510
一般,一般,1,10,604056,4611,6240,2632,2586,1788
一起,一起,1,10,604056,127575,6240,6238,32889,5873
一陣,一阵,1,10,604056,2429,6240,1564,499,431
一帶,一带,1,11,604056,45283,6240,6062,172,150
一貫,一贯,1,11,604056,486,6240,408,163,150
一塊,一块,1,13,604056,11381,6240,3795,233,194
一會,一会,1,13,604056,321488,6240,6242,1013,784
一概,一概,1,13,604056,5532,6240,2937,17,17
一經,一经,1,13,604056,80207,6240,6214,16,15
一路,一路,1,13,604056,23462,6240,5258,1001,721
一道,一道,1,13,604056,230531,6240,6241,64,55
一齊,一齐,1,14,604056,1671,6240,945,44,26
一樣,一样,1,15,604056,161409,6240,6237,28861,5906
一點,一点,1,17,604056,128025,6240,6237,20342,5326
一邊,一边,1,19,604056,30972,6240,5769,2594,1638
一體,一体,1,23,604056,26590,6240,5453,126,109
丁級,丁级,2,10,3640,9893,1389,3733,N/A,N/A
七夕,七夕,2,3,4094,474,2179,335,N/A,N/A
七彩,七彩,2,11,4094,5381,2179,2196,4,4
乃至,乃至,2,6,566,18394,209,5381,21,21
了卻,了却,2,9,993990,13707,6243,4636,9,9
了得,了得,2,11,993990,208054,6243,6239,14,14
了結,了结,2,12,993990,32979,6243,5870,475,381
了解,了解,2,13,993990,36622,6243,5912,10127,4076
了斷,了断,2,18,993990,9088,6243,3966,126,114
二手,二手,2,4,16814,75608,4904,6186,89,78
二叔,二叔,2,8,16814,5419,4904,1102,N/A,N/A
二姑,二姑,2,8,16814,5640,4904,2143,N/A,N/A
二胡,二胡,2,9,16814,5787,4904,2648,N/A,N/A
二等,二等,2,12,16814,71184,4904,6178,63,40
二樓,二楼,2,15,16814,9176,4904,3251,N/A,N/A
人力,人力,2,2,373292,44859,6240,6009,168,138
人口,人口,2,3,373292,21385,6240,5406,555,400
人士,人士,2,3,373292,31972,6240,5218,592,492
人工,人工,2,3,373292,44548,6240,5692,204,163
人才,人才,2,3,373292,46044,6240,6153,443,375
人手,人手,2,4,373292,75608,6240,6186,162,145
人文,人文,2,4,373292,14196,6240,3743,12,7
人世,人世,2,5,373292,21566,6240,5168,125,111
人奶,人奶,2,5,373292,8037,6240,2250,N/A,N/A
人民,人民,2,5,373292,9468,6240,2882,1661,713
人生,人生,2,5,373292,162725,6240,6237,2852,1640
人名,人名,2,6,373292,43229,6240,5995,28,28
人次,人次,2,6,373292,58108,6240,6183,3,3
人身,人身,2,7,373292,38760,6240,6010,189,150
人事,人事,2,8,373292,179716,6240,6237,112,95
人命,人命,2,8,373292,25014,6240,5227,178,144
人性,人性,2,8,373292,28102,6240,5317,373,297
人物,人物,2,8,373292,30079,6240,5603,2014,1378
人品,人品,2,9,373292,14318,6240,4239,64,51
人流,人流,2,9,373292,11946,6240,4331,32,24
人為,人为,2,9,373292,249231,6240,6241,80,72
人們,人们,2,10,373292,701754,6240,6243,7990,3470
人員,人员,2,10,373292,29907,6240,5177,2781,1563
人家,人家,2,10,373292,112387,6240,6236,1027,737
人格,人格,2,10,373292,19477,6240,4252,362,234
人馬,人马,2,10,373292,34892,6240,5560,129,100
人參,人参,2,11,373292,13574,6240,4169,30,21
人情,人情,2,11,373292,69279,6240,6178,207,183
人造,人造,2,11,373292,11461,6240,4064,186,149
人間,人间,2,12,373292,60047,6240,6174,350,280
人猿,人猿,2,13,373292,188,6240,94,26,19
人瑞,人瑞,2,13,373292,7937,6240,1207,N/A,N/A
人群,人群,2,13,373292,4880,6240,2586,622,477
人道,人道,2,13,373292,230531,6240,6241,86,69
人種,人种,2,14,373292,42396,6240,6034,84,68
人稱,人称,2,14,373292,6188,6240,3222,41,40
人際,人际,2,14,373292,7355,6240,3334,29,26
人影,人影,2,15,373292,16924,6240,4515,56,51
人數,人数,2,15,373292,14754,6240,4620,448,333
人潮,人潮,2,15,373292,1485,6240,927,N/A,N/A
人緣,人缘,2,15,373292,1650,6240,1188,51,45
人質,人质,2,15,373292,5831,6240,2698,1014,313
人選,人选,2,16,373292,25419,6240,4902,609,477
人證,人证,2,19,373292,30165,6240,5358,19,16
人類,人类,2,19,373292,11326,6240,3929,3857,1372
人權,人权,2,22,373292,10283,6240,3515,166,115
人體,人体,2,23,373292,26590,6240,5453,484,348
入口,入口,2,3,24269,21385,5410,5406,528,378
入手,入手,2,4,24269,75608,5410,6186,104,98
入世,入世,2,5,24269,21566,5410,5168,8,6
入主,入主,2,5,24269,28628,5410,5684,23,22
入冬,入冬,2,5,24269,1099,5410,567,2,2
入伍,入伍,2,6,24269,3454,5410,1102,116,82
入伙,入伙,2,6,24269,37637,5410,5529,149,107
入定,入定,2,8,24269,81657,5410,6219,9,4
入股,入股,2,8,24269,5724,5410,2489,8,8
入門,入门,2,8,24269,25908,5410,5498,48,46
入侵,入侵,2,9,24269,2205,5410,1219,674,408
入城,入城,2,9,24269,10406,5410,3482,N/A,N/A
入流,入流,2,9,24269,11946,5410,4331,N/A,N/A
入席,入席,2,10,24269,3105,5410,1623,18,17
入座,入座,2,10,24269,5753,5410,2733,34,33
入時,入时,2,10,24269,162611,5410,6240,7,7
入神,入神,2,10,24269,22077,5410,5048,10,10
入迷,入迷,2,10,24269,8172,5410,3516,32,31
入院,入院,2,10,24269,13564,5410,3799,87,68
入眼,入眼,2,11,24269,19247,5410,5237,2,2
入圍,入围,2,12,24269,5906,5410,3199,48,35
入場,入场,2,12,24269,34746,5410,5695,104,87
入會,入会,2,13,24269,321488,5410,6242,60,31
入境,入境,2,14,24269,4514,5410,2534,89,66
入獄,入狱,2,14,24269,8440,5410,2651,246,193
入睡,入睡,2,14,24269,14599,5410,4239,238,201
入賬,入账,2,15,24269,1953,5410,1062,13,13
入學,入学,2,16,24269,41964,5410,5516,150,116
入選,入选,2,16,24269,25419,5410,4902,122,79
入殮,入殓,2,17,24269,7,5410,5,2,1
入營,入营,2,17,24269,4472,5410,1997,N/A,N/A
入聲,入声,2,17,24269,18258,5410,5058,N/A,N/A
入籍,入籍,2,20,24269,357,5410,286,8,6
入黨,入党,2,20,24269,1985,5410,725,N/A,N/A
八字,八字,2,6,6222,22743,2982,5345,17,15
八成,八成,2,6,6222,61348,2982,6175,6,6
八卦,八卦,2,8,6222,512,2982,283,468,248
刀刃,刀刃,2,3,4999,265,1946,195,64,52
刀叉,刀叉,2,3,4999,906,1946,669,25,23
刀口,刀口,2,3,4999,21385,1946,5406,24,24
刀子,刀子,2,3,4999,177693,1946,6239,351,227
刀片,刀片,2,4,4999,21431,1946,4899,78,53
刀尖,刀尖,2,6,4999,2358,1946,1415,15,9
刀具,刀具,2,8,4999,8138,1946,3540,30,23
刀柄,刀柄,2,9,4999,536,1946,387,29,19
刀疤,刀疤,2,9,4999,689,1946,435,N/A,N/A
刀背,刀背,2,9,4999,7930,1946,3635,2,2
刀面,刀面,2,9,4999,67015,1946,6200,N/A,N/A
刀痕,刀痕,2,11,4999,2316,1946,1200,3,3
刀傷,刀伤,2,13,4999,22147,1946,5229,64,54
刀槍,刀枪,2,14,4999,21732,1946,3354,12,11
刀劍,刀剑,2,15,4999,1538,1946,476,6,5
刀鋒,刀锋,2,15,4999,838,1946,523,110,37
刁民,刁民,2,5,77,9468,65,2882,2,2
刁難,刁难,2,19,77,31433,65,5936,39,35
刁蠻,刁蛮,2,25,77,1188,65,808,N/A,N/A
刁鑽,刁钻,2,27,77,2373,65,949,9,9
力求,力求,2,7,44859,22773,6009,5312,29,23
力度,力度,2,9,44859,17384,6009,5042,88,70
力氣,力气,2,10,44859,28334,6009,5724,532,450
力量,力量,2,12,44859,12973,6009,4411,3150,1588
力學,力学,2,16,44859,41964,6009,5516,9,8
力戰,力战,2,16,44859,18511,6009,3826,3,3
力薦,力荐,2,17,44859,763,6009,557,N/A,N/A
力勸,力劝,2,20,44859,871,6009,661,N/A,N/A
匕首,匕首,2,9,131,12927,82,4153,131,82
十分,十分,2,4,14731,48396,4176,6077,1900,1158
十字,十字,2,6,14731,22743,4176,5345,152,101
十成,十成,2,6,14731,61348,4176,6175,N/A,N/A
十足,十足,2,7,14731,8917,4176,4092,388,329
十歲,十岁,2,13,14731,12744,4176,4106,N/A,N/A
十誡,十诫,2,14,14731,159,4176,123,N/A,N/A
卜卦,卜卦,2,8,662,512,341,283,N/A,N/A
丈夫,丈夫,3,4,6238,23767,2281,4537,6115,2216
三思,三思,3,9,26275,34855,5491,5940,2,2
上山,上山,3,3,236451,8779,6240,2648,74,51
上升,上升,3,4,236451,4362,6240,2162,446,364
上午,上午,3,4,236451,8167,6240,3507,595,441
上天,上天,3,4,236451,127053,6240,6234,131,125
上心,上心,3,4,236451,83418,6240,6225,35,32
上手,上手,3,4,236451,75608,6240,6186,59,51
上方,上方,3,4,236451,52743,6240,6142,161,136
上去,上去,3,5,236451,232346,6240,6241,1973,1396
上台,上台,3,5,236451,13404,6240,3697,493,289
上司,上司,3,5,236451,15818,6240,3838,661,432
上市,上市,3,5,236451,10453,6240,3571,120,93
上任,上任,3,6,236451,34349,6240,5769,89,75
上吊,上吊,3,6,236451,1272,6240,822,123,92
上旬,上旬,3,6,236451,46,6240,39,1,1
上次,上次,3,6,236451,58108,6240,6183,1672,1309
上色,上色,3,6,236451,21624,6240,5086,30,25
上衣,上衣,3,6,236451,14941,6240,4375,373,251
上床,上床,3,7,236451,8706,6240,3350,N/A,N/A
上身,上身,3,7,236451,38760,6240,6010,165,134
上車,上车,3,7,236451,55587,6240,5469,557,431
上京,上京,3,8,236451,1329,6240,392,N/A,N/A
上來,上来,3,8,236451,377902,6240,6242,522,460
上周,上周,3,8,236451,21092,6240,4996,1552,895
上岸,上岸,3,8,236451,1693,6240,881,51,40
上昇,上升,3,8,236451,4362,6240,2162,446,364
上空,上空,3,8,236451,15517,6240,4618,178,139
上門,上门,3,8,236451,25908,6240,5498,440,381
上前,上前,3,9,236451,75236,6240,6219,103,87
上品,上品,3,9,236451,14318,6240,4239,7,7
上帝,上帝,3,9,236451,15988,6240,3864,14605,3685
上映,上映,3,9,236451,931,6240,600,134,115
上流,上流,3,9,236451,11946,6240,4331,105,93
上述,上述,3,9,236451,2432,6240,1521,52,46
上限,上限,3,9,236451,3137,6240,1969,39,30
上面,上面,3,9,236451,67015,6240,6200,5363,2941
上風,上风,3,9,236451,13301,6240,4400,62,57
上香,上香,3,9,236451,5724,6240,2395,N/A,N/A
上乘,上乘,3,10,236451,2310,6240,1157,16,16
上校,上校,3,10,236451,13122,6240,3100,1395,345
上班,上班,3,10,236451,11120,6240,3608,2221,1372
上級,上级,3,10,236451,9893,6240,3733,265,208
上陣,上阵,3,10,236451,2429,6240,1564,71,69
上將,上将,3,11,236451,30460,6240,5177,178,56
上尉,上尉,3,11,236451,2212,6240,480,1175,266
上船,上船,3,11,236451,9979,6240,1838,N/A,N/A
上報,上报,3,12,236451,21904,6240,4965,148,117
上場,上场,3,12,236451,34746,6240,5695,648,372
上揚,上扬,3,12,236451,1414,6240,918,13,12
上朝,上朝,3,12,236451,3629,6240,1990,4,3
上款,上款,3,12,236451,3486,6240,1729,1,1
上游,上游,3,12,236451,12371,6240,3874,69,56
上等,上等,3,12,236451,71184,6240,6178,110,98
上策,上策,3,12,236451,2376,6240,1471,26,26
上街,上街,3,12,236451,8599,6240,3113,113,94
上訴,上诉,3,12,236451,65753,6240,6150,310,180
上進,上进,3,12,236451,55676,6240,6142,30,28
上集,上集,3,12,236451,11403,6240,5004,59,59
上當,上当,3,13,236451,80228,6240,6220,139,124
上路,上路,3,13,236451,23462,6240,5258,287,247
上榜,上榜,3,14,236451,591,6240,445,N/A,N/A
上演,上演,3,14,236451,23373,6240,3897,403,337
上漲,上涨,3,14,236451,519,6240,400,64,49
上賓,上宾,3,14,236451,2536,6240,1178,7,7
上層,上层,3,15,236451,3807,6240,1932,129,111
上樓,上楼,3,15,236451,9176,6240,3251,237,200
上課,上课,3,15,236451,5285,6240,2073,815,536
上學,上学,3,16,236451,41964,6240,5516,1241,842
上頭,上头,3,16,236451,49069,6240,6092,200,178
上聯,上联,3,17,236451,14117,6240,4013,N/A,N/A
上鎖,上锁,3,18,236451,4940,6240,2372,N/A,N/A
上顎,上颚,3,18,236451,106,6240,70,12,11
上邊,上边,3,19,236451,30972,6240,5769,110,92
上癮,上瘾,3,22,236451,1372,6240,766,315,223
下人,下人,3,2,153565,373292,6239,6240,13,12
下凡,下凡,3,3,153565,1875,6239,1077,28,22
下山,下山,3,3,153565,8779,6239,2648,33,27
下工,下工,3,3,153565,44548,6239,5692,2,2
下午,下午,3,4,153565,8167,6239,3507,2928,1826
下巴,下巴,3,4,153565,14445,6239,3278,392,292
下手,下手,3,4,153565,75608,6239,6186,679,518
下文,下文,3,4,153565,14196,6239,3743,18,18
下方,下方,3,4,153565,52743,6239,6142,106,94
下水,下水,3,4,153565,21793,6239,5083,108,91
下令,下令,3,5,153565,12327,6239,3942,291,213
下冊,下册,3,5,153565,1372,6239,916,N/A,N/A
下去,下去,3,5,153565,232346,6239,6241,7767,3564
下台,下台,3,5,153565,13404,6239,3697,112,99
下列,下列,3,6,153565,4646,6239,2129,21,21
下旬,下旬,3,6,153565,46,6239,39,5,4
下次,下次,3,6,153565,58108,6239,6183,2248,1644
下床,下床,3,7,153565,8706,6239,3350,N/A,N/A
下身,下身,3,7,153565,38760,6239,6010,63,58
下車,下车,3,7,153565,55587,6239,5469,257,214
下來,下来,3,8,153565,377902,6239,6242,12748,4708
下周,下周,3,8,153565,21092,6239,4996,N/A,N/A
下坡,下坡,3,8,153565,510,6239,331,28,26
下放,下放,3,8,153565,46528,6239,6122,22,22
下注,下注,3,8,153565,15259,6239,4984,N/A,N/A
下肢,下肢,3,8,153565,615,6239,429,26,26
下雨,下雨,3,8,153565,3189,6239,1432,250,195
下品,下品,3,9,153565,14318,6239,4239,1,1
下垂,下垂,3,9,153565,668,6239,534,64,55
下流,下流,3,9,153565,11946,6239,4331,161,126
下述,下述,3,9,153565,2432,6239,1521,N/A,N/A
下降,下降,3,9,153565,4045,6239,2009,538,392
下限,下限,3,9,153565,3137,6239,1969,2,2
下面,下面,3,9,153565,67015,6239,6200,3771,2234
下風,下风,3,9,153565,13301,6239,4400,26,25
下唇,下唇,3,10,153565,1212,6239,706,N/A,N/A
下挫,下挫,3,10,153565,387,6239,331,2,2
下海,下海,3,10,153565,16404,6239,3720,31,31
下班,下班,3,10,153565,11120,6239,3608,830,664
下級,下级,3,10,153565,9893,6239,3733,29,20
下崗,下岗,3,11,153565,607,6239,375,32,23
下貨,下货,3,11,153565,5929,6239,2493,N/A,N/A
下陷,下陷,3,11,153565,3142,6239,1934,4,4
下雪,下雪,3,11,153565,3731,6239,1444,171,124
下場,下场,3,12,153565,34746,6239,5695,311,285
下棋,下棋,3,12,153565,665,6239,320,96,62
下款,下款,3,12,153565,3486,6239,1729,N/A,N/A
下游,下游,3,12,153565,12371,6239,3874,37,26
下筆,下笔,3,12,153565,5687,6239,2641,5,5
下等,下等,3,12,153565,71184,6239,6178,27,25
下策,下策,3,12,153565,2376,6239,1471,11,11
下跌,下跌,3,12,153565,634,6239,457,39,32
下鄉,下乡,3,12,153565,2509,6239,1305,2,2
下集,下集,3,12,153565,11403,6239,5004,134,119
下嫁,下嫁,3,13,153565,2163,6239,1182,N/A,N/A
下滑,下滑,3,13,153565,3523,6239,1700,103,82
下落,下落,3,13,153565,10041,6239,3666,371,291
下葬,下葬,3,13,153565,1988,6239,1028,86,76
下跪,下跪,3,13,153565,783,6239,505,48,44
下榻,下榻,3,14,153565,31,6239,25,10,9
下獄,下狱,3,14,153565,8440,6239,2651,1,1
下層,下层,3,15,153565,3807,6239,1932,48,44
下廚,下厨,3,15,153565,2898,6239,1422,48,43
下樓,下楼,3,15,153565,9176,6239,3251,N/A,N/A
下課,下课,3,15,153565,5285,6239,2073,116,95
下賤,下贱,3,15,153565,1848,6239,1034,78,68
下聯,下联,3,17,153565,14117,6239,4013,N/A,N/A
下鍋,下锅,3,17,153565,682,6239,467,N/A,N/A
下顎,下颚,3,18,153565,106,6239,70,73,55
下屬,下属,3,21,153565,5358,6239,2835,129,107
下體,下体,3,23,153565,26590,6239,5453,45,37
丫頭,丫头,3,16,507,49069,327,6092,311,196
丫環,丫环,3,17,507,4848,327,2314,N/A,N/A
丫鬟,丫鬟,3,23,507,N/A,327,N/A,N/A,N/A
丸子,丸子,3,3,771,177693,416,6239,34,22
久候,久候,3,10,15073,58337,5007,6169,N/A,N/A
久經,久经,3,13,15073,80207,5007,6214,N/A,N/A
久違,久违,3,13,15073,2348,5007,1503,16,16
么兒,么儿,3,8,557804,105402,6227,6066,N/A,N/A
乞丐,乞丐,3,4,436,133,296,89,131,87
乞求,乞求,3,7,436,22773,296,5312,169,137
乞兒,乞儿,3,8,436,105402,296,6066,N/A,N/A
乞食,乞食,3,9,436,7168,296,3036,3,2
乞討,乞讨,3,10,436,10151,296,4152,60,52
乞援,乞援,3,12,436,2269,296,1141,N/A,N/A
也好,也好,3,6,159926,412760,6238,6242,296,216
也有,也有,3,6,159926,533631,6238,6243,N/A,N/A
也能,也能,3,10,159926,241617,6238,6243,N/A,N/A
也許,也许,3,11,159926,44190,6238,5976,26083,5032
也會,也会,3,13,159926,321488,6238,6242,N/A,N/A
亡妻,亡妻,3,8,6086,8809,2549,2994,N/A,N/A
亡靈,亡灵,3,24,6086,8472,2549,2941,76,34
凡人,凡人,3,2,1875,373292,1077,6240,154,108
凡事,凡事,3,8,1875,179716,1077,6237,146,129
凡是,凡是,3,9,1875,1172098,1077,6243,96,87
凡間,凡间,3,12,1875,60047,1077,6174,16,10
凡塵,凡尘,3,14,1875,976,1077,632,N/A,N/A
千古,千古,3,5,7954,6114,3234,2330,8,7
千金,千金,3,8,7954,19210,3234,4403,49,36
千萬,千万,3,13,7954,18335,3234,4628,1568,1068
叉子,叉子,3,3,906,177693,669,6239,131,110
叉手,叉手,3,4,906,75608,669,6186,N/A,N/A
叉腰,叉腰,3,13,906,1198,669,785,3,2
口才,口才,3,3,21385,46044,5406,6153,50,46
口水,口水,3,4,21385,21793,5406,5083,153,126
口吃,口吃,3,6,21385,33829,5406,5493,22,17
口吻,口吻,3,7,21385,4521,5406,1940,34,32
口技,口技,3,7,21385,5233,5406,2455,64,27
口角,口角,3,7,21385,8735,5406,3624,55,47
口供,口供,3,8,21385,5801,5406,2865,257,174
口味,口味,3,8,21385,11803,5406,4466,457,343
口岸,口岸,3,8,21385,1693,5406,881,5,5
口服,口服,3,8,21385,24279,5406,5496,9,8
口信,口信,3,9,21385,57928,5406,6108,286,213
口型,口型,3,9,21385,7502,5406,3126,25,17
口紅,口红,3,9,21385,7485,5406,3015,245,142
口述,口述,3,9,21385,2432,5406,1521,41,29
口音,口音,3,9,21385,18229,5406,4546,552,346
口風,口风,3,9,21385,13301,5406,4400,31,29
口哨,口哨,3,10,21385,531,5406,354,150,99
口徑,口径,3,10,21385,1475,5406,1002,391,251
口氣,口气,3,10,21385,28334,5406,5724,203,182
口袋,口袋,3,11,21385,5787,5406,2741,984,683
口訣,口诀,3,11,21385,275,5406,239,6,5
口渴,口渴,3,12,21385,1646,5406,1156,134,121
口琴,口琴,3,12,21385,1955,5406,699,44,31
口腔,口腔,3,12,21385,996,5406,689,68,50
口傳,口传,3,13,21385,13084,5406,4345,1,1
口碑,口碑,3,13,21385,351,5406,236,24,23
口罩,口罩,3,13,21385,1260,5406,777,35,27
口號,口号,3,13,21385,21571,5406,4673,112,83
口試,口试,3,13,21385,26846,5406,5373,9,6
口福,口福,3,14,21385,8073,5406,2784,12,12
口語,口语,3,14,21385,10813,5406,3660,17,13
口德,口德,3,15,21385,27149,5406,3140,N/A,N/A
口齒,口齿,3,15,21385,1572,5406,905,41,28
口頭,口头,3,16,21385,49069,5406,6092,93,78
口譯,口译,3,20,21385,256,5406,174,4,2
土人,土人,3,2,4871,373292,2067,6240,23,18
土地,土地,3,6,4871,78129,2067,6211,1121,480
土法,土法,3,8,4871,60750,2067,6091,2,1
土匪,土匪,3,10,4871,820,2067,380,66,35
土氣,土气,3,10,4871,28334,2067,5724,10,9
土堆,土堆,3,11,4871,2888,2067,1900,8,5
土產,土产,3,11,4871,8264,2067,3345,5,5
土著,土著,3,12,4871,2734,2067,1615,101,58
土葬,土葬,3,13,4871,1988,2067,1028,6,5
土話,土话,3,13,4871,99879,2067,6226,4,4
土製,土制,3,14,4871,16519,2067,4821,N/A,N/A
土豪,土豪,3,14,4871,2507,2067,1509,N/A,N/A
土質,土质,3,15,4871,5831,2067,2698,8,6
土牆,土墙,3,17,4871,3300,2067,1743,2,2
土壤,土壤,3,20,4871,194,2067,118,84,56
士人,士人,3,2,31972,373292,5218,6240,3,2
士兵,士兵,3,7,31972,4945,5218,1377,1611,610
士卒,士卒,3,8,31972,171,5218,125,1,1
士官,士官,3,8,31972,21405,5218,3496,152,43
士氣,士气,3,10,31972,28334,5218,5724,126,109
士族,士族,3,11,31972,4959,5218,1791,N/A,N/A
夕陽,夕阳,3,12,474,4200,335,2035,59,53
大人,大人,3,2,135159,373292,6237,6240,2784,748
大力,大力,3,2,135159,44859,6237,6009,126,102
大小,大小,3,3,135159,99468,6237,6229,378,309
大夫,大夫,3,4,135159,23767,6237,4537,654,271
大戶,大户,3,4,135159,5836,6237,2504,5,5
大方,大方,3,4,135159,52743,6237,6142,150,139
大半,大半,3,5,135159,10910,6237,4341,115,110
大地,大地,3,6,135159,78129,6237,6211,254,174
大多,大多,3,6,135159,104049,6237,6236,204,188
大考,大考,3,6,135159,11613,6237,4125,3,3
大臣,大臣,3,6,135159,467,6237,222,121,56
大作,大作,3,7,135159,68168,6237,6143,66,59
大批,大批,3,7,135159,2313,6237,1445,37,36
大旱,大旱,3,7,135159,114,6237,81,N/A,N/A
大肚,大肚,3,7,135159,1684,6237,1145,N/A,N/A
大事,大事,3,8,135159,179716,6237,6237,865,704
大使,大使,3,8,135159,16913,6237,4913,374,154
大典,大典,3,8,135159,3276,6237,1798,8,2
大叔,大叔,3,8,135159,5419,6237,1102,340,121
大抵,大抵,3,8,135159,1716,6237,1166,4,4
大於,大于,3,8,135159,45429,6237,6064,64,58
大門,大门,3,8,135159,25908,6237,5498,604,450
大雨,大雨,3,8,135159,3189,6237,1432,90,79
大型,大型,3,9,135159,7502,6237,3126,420,346
大姨,大姨,3,9,135159,1249,6237,547,3,2
大洋,大洋,3,9,135159,2225,6237,1145,85,69
大約,大约,3,9,135159,22765,6237,4614,1348,945
大致,大致,3,10,135159,6199,6237,3135,124,118
大限,大限,3,9,135159,3137,6237,1969,N/A,N/A
大哥,大哥,3,10,135159,18845,6237,3690,787,238
大哭,大哭,3,10,135159,4774,6237,2152,N/A,N/A
大娘,大娘,3,10,135159,9115,6237,3046,11,11
大家,大家,3,10,135159,112387,6237,6236,17458,4580
大師,大师,3,10,135159,21326,6237,4431,640,361
大海,大海,3,10,135159,16404,6237,3720,491,300
大堂,大堂,3,11,135159,5777,6237,2408,78,65
大專,大专,3,11,135159,7712,6237,3526,11,9
大敗,大败,3,11,135159,6462,6237,2819,16,16
大眾,大众,3,11,135159,7370,6237,2810,462,360
大都,大都,3,11,135159,180587,6237,6237,46,43
大陸,大陆,3,11,135159,2197,6237,996,319,178
大麥,大麦,3,11,135159,7500,6237,1630,21,17
大麻,大麻,3,11,135159,11963,6237,4335,1198,449
大喊,大喊,3,12,135159,2156,6237,1369,29,29
大幅,大幅,3,12,135159,1274,6237,665,45,42
大街,大街,3,12,135159,8599,6237,3113,1506,881
大象,大象,3,12,135159,17007,6237,4799,416,185
大跌,大跌,3,12,135159,634,6237,457,6,6
大量,大量,3,12,135159,12973,6237,4411,840,659
大隊,大队,3,12,135159,27111,6237,4217,53,24
大媽,大妈,3,13,135159,79529,6237,5318,83,60
大嫂,大嫂,3,13,135159,106,6237,53,26,10
大廈,大厦,3,13,135159,414,6237,258,384,239
大意,大意,3,13,135159,103354,6237,6238,85,65
大會,大会,3,13,135159,321488,6237,6242,648,223
大概,大概,3,13,135159,5532,6237,2937,4804,2625
大殿,大殿,3,13,135159,1372,6237,363,10,3
大煙,大烟,3,13,135159,5276,6237,2085,19,15
大爺,大爷,3,13,135159,4461,6237,1090,113,60
大肆,大肆,3,13,135159,319,6237,291,100,98
大葱,大葱,3,13,135159,390,6237,249,4,4
大解,大解,3,13,135159,36622,6237,5912,1,1
大話,大话,3,13,135159,99879,6237,6226,60,50
大道,大道,3,13,135159,230531,6237,6241,688,448
大鼓,大鼓,3,13,135159,2726,6237,1537,3,2
大漠,大漠,3,14,135159,1009,6237,609,3,3
大漢,大汉,3,14,135159,4874,6237,1677,11,10
大綱,大纲,3,14,135159,112,6237,68,25,23
大腿,大腿,3,14,135159,4983,6237,2331,291,241
大蒜,大蒜,3,14,135159,303,6237,231,110,74
大樓,大楼,3,15,135159,9176,6237,3251,1226,671
大學,大学,3,16,135159,41964,6237,5516,4455,1834
大戰,大战,3,16,135159,18511,6237,3826,338,260
大選,大选,3,16,135159,25419,6237,4902,99,64
大戲,大戏,3,17,135159,11294,6237,3737,12,11
大聲,大声,3,17,135159,18258,6237,5058,741,607
大膽,大胆,3,17,135159,2487,6237,1601,396,339
大舉,大举,3,17,135159,6853,6237,3252,10,9
大賽,大赛,3,17,135159,20455,6237,2704,797,249
大體,大体,3,23,135159,26590,6237,5453,31,29
大廳,大厅,3,25,135159,3620,6237,1919,744,550
女人,女人,3,2,76693,373292,6088,6240,14388,4137
女士,女士,3,3,76693,31972,6088,5218,10544,3437
女子,女子,3,3,76693,177693,6088,6239,706,491
女工,女工,3,3,76693,44548,6088,5692,67,49
女友,女友,3,4,76693,40149,6088,5845,1200,763
女王,女王,3,4,76693,9733,6088,2338,1210,387
女生,女生,3,5,76693,162725,6088,6237,1690,776
女色,女色,3,6,76693,21624,6088,5086,15,10
女巫,女巫,3,7,76693,1649,6088,531,425,150
女兒,女儿,3,8,76693,105402,6088,6066,8450,2639
女性,女性,3,8,76693,28102,6088,5317,2080,1162
女俠,女侠,3,9,76693,1188,6088,367,1,1
