Character,CHR/million,logCHR,logCHR-CD,HomoDensity,Num-Neighbors
绫,0.56,1.415,0.9031,19,220
泷,0.56,1.415,0.4771,8,217
铍,0.56,1.415,0.8451,7,278
钧,0.56,1.415,1.3802,5,276
荞,0.56,1.415,1.2553,6,220
堀,0.56,1.415,0.7782,7,277
醛,0.56,1.415,1.2553,9,220
渲,0.56,1.415,1.3979,5,305
掸,0.56,1.415,1.2788,2,261
纨,0.53,1.3979,1.3424,6,220
曰,0.53,1.3979,1.2788,2,276
藓,0.53,1.3979,1.2553,5,262
杭,0.53,1.3979,1.0792,3,217
枣,0.53,1.3979,1.2788,5,261
搡,0.53,1.3979,1.301,2,261
禄,0.53,1.3979,1.301,13,305
拗,0.53,1.3979,1.301,1,307
荚,0.53,1.3979,1.2304,5,220
膈,0.53,1.3979,1.2553,9,220
鄂,0.53,1.3979,0.8451,14,305
卯,0.53,1.3979,1.3222,3,263
祉,0.53,1.3979,1.3802,11,262
蹑,0.51,1.3802,1.1139,10,304
嗳,0.51,1.3802,1.0792,7,306
咲,0.51,1.3802,0.301,8,305
榛,0.51,1.3802,1.301,11,277
唏,0.51,1.3802,1.2304,24,278
剐,0.51,1.3802,1.3802,2,261
笙,0.51,1.3802,1.0792,6,278
吔,0.51,1.3802,1.1761,2,278
岬,0.51,1.3802,1.1461,5,262
凛,0.51,1.3802,1.2041,1,261
臃,0.49,1.3617,1.301,12,260
恣,0.49,1.3617,1.3424,5,305
楣,0.49,1.3617,1.2553,13,219
吏,0.49,1.3617,0.9031,23,306
戊,0.49,1.3617,1.1761,13,306
讹,0.49,1.3617,1.2304,9,219
喙,0.49,1.3617,1.2041,15,306
匮,0.49,1.3617,1.3424,5,305
绮,0.49,1.3617,0.9542,5,262
弑,0.49,1.3617,1.2041,29,306
亟,0.47,1.3424,1.3222,19,220
廿,0.47,1.3424,1.0792,2,305
鳖,0.47,1.3424,1.3222,2,277
泯,0.47,1.3424,1.301,5,260
葆,0.47,1.3424,1.2788,5,261
杪,0.47,1.3424,0.0,4,262
诣,0.47,1.3424,1.3222,37,306
翌,0.47,1.3424,1.1461,37,306
喆,0.47,1.3424,0.6990000000000001,9,220
眺,0.47,1.3424,1.3222,2,305
杳,0.47,1.3424,1.3222,4,262
鹈,0.47,1.3424,1.1139,11,220
戾,0.47,1.3424,1.3222,23,306
谟,0.45,1.3222,0.9542,8,220
昱,0.45,1.3222,0.0,42,276
冀,0.45,1.3222,1.2304,24,306
盂,0.45,1.3222,1.1761,42,276
衙,0.45,1.3222,0.9031,5,221
摹,0.45,1.3222,1.1461,8,220
俎,0.45,1.3222,1.301,5,261
卍,0.45,1.3222,0.301,4,306
峦,0.45,1.3222,1.2553,5,220
剿,0.45,1.3222,1.2553,11,261
甁,0.45,1.3222,1.0414,11,217
璞,0.45,1.3222,1.1461,9,220
醍,0.45,1.3222,1.1139,11,220
桉,0.45,1.3222,1.1761,7,305
犒,0.45,1.3222,1.301,3,304
逖,0.45,1.3222,0.8451,11,306
绱,0.45,1.3222,0.301,4,305
螨,0.45,1.3222,0.7782,2,261
晟,0.43,1.301,0.6990000000000001,5,306
匝,0.43,1.301,1.0414,2,277
彛,0.43,1.301,0.0,16,220
恬,0.43,1.301,1.2788,6,219
嗪,0.43,1.301,1.1761,8,218
臻,0.43,1.301,0.8451,11,277
楸,0.43,1.301,0.4771,5,277
姚,0.43,1.301,1.0,9,220
酣,0.43,1.301,1.301,4,279
隅,0.43,1.301,1.2788,42,276
斡,0.43,1.301,0.8451,7,305
锭,0.43,1.301,1.0792,5,305
狞,0.43,1.301,1.2041,5,217
燎,0.41,1.2788,1.2041,5,305
趸,0.41,1.2788,1.2304,2,261
舐,0.41,1.2788,1.1139,29,306
缥,0.41,1.2788,1.2553,2,263
筵,0.41,1.2788,1.1139,14,220
鲭,0.41,1.2788,1.0792,9,278
毗,0.41,1.2788,1.2553,8,220
皓,0.41,1.2788,0.8451,8,304
谩,0.41,1.2788,1.2041,7,305
骛,0.41,1.2788,1.2304,13,306
沏,0.41,1.2788,1.2304,10,278
藕,0.41,1.2788,1.0792,4,262
锆,0.41,1.2788,1.0792,3,305
螯,0.41,1.2788,1.0792,8,219
哧,0.41,1.2788,0.9542,6,278
锃,0.41,1.2788,1.2041,3,304
嗲,0.41,1.2788,1.1139,1,260
鬃,0.41,1.2788,1.1761,5,277
冶,0.38,1.2553,1.2041,4,262
癔,0.38,1.2553,1.0,37,306
鬣,0.38,1.2553,1.1461,8,304
肱,0.38,1.2553,1.2041,12,277
恵,0.38,1.2553,0.4771,15,306
桦,0.38,1.2553,1.0792,5,305
圃,0.38,1.2553,1.1139,5,262
挎,0.38,1.2553,1.2304,7,277
聒,0.38,1.2553,1.0792,6,277
噘,0.38,1.2553,1.1461,2,276
泔,0.38,1.2553,1.0,7,276
雁,0.38,1.2553,1.0792,14,306
沢,0.38,1.2553,0.6990000000000001,6,217
稔,0.38,1.2553,0.8451,3,261
膘,0.38,1.2553,1.2041,8,276
铰,0.38,1.2553,1.2041,11,261
忿,0.36,1.2304,1.0414,6,306
粕,0.36,1.2304,1.0414,5,306
袴,0.36,1.2304,0.301,4,305
巳,0.36,1.2304,0.9031,11,305
鹳,0.36,1.2304,1.1761,8,305
矬,0.36,1.2304,1.1761,2,220
汶,0.36,1.2304,0.6990000000000001,3,306
幔,0.36,1.2304,0.9031,7,305
邹,0.36,1.2304,0.0,2,278
蔫,0.36,1.2304,1.2041,1,279
穹,0.36,1.2304,1.2041,4,217
氩,0.36,1.2304,1.0414,5,307
霎,0.36,1.2304,1.2304,2,306
囹,0.36,1.2304,1.2041,19,220
侩,0.36,1.2304,1.0414,7,303
沽,0.36,1.2304,1.1139,11,277
屯,0.36,1.2304,1.0414,5,219
莜,0.36,1.2304,0.0,5,305
垦,0.36,1.2304,1.1139,4,259
驿,0.34,1.2041,1.0792,37,306
婢,0.34,1.2041,0.8451,25,306
佃,0.34,1.2041,0.6990000000000001,11,305
苞,0.34,1.2041,1.1761,5,277
孱,0.34,1.2041,1.1139,7,218
荻,0.34,1.2041,0.6021,9,220
邢,0.34,1.2041,0.9031,5,220
楞,0.34,1.2041,1.1139,2,304
盅,0.34,1.2041,1.0414,6,277
蒋,0.34,1.2041,0.9031,4,261
掇,0.34,1.2041,1.1461,4,219
燧,0.34,1.2041,0.8451,8,305
喏,0.34,1.2041,1.2041,2,260
哌,0.34,1.2041,1.1139,2,305
馍,0.34,1.2041,0.4771,8,220
砣,0.34,1.2041,1.1139,8,220
焗,0.34,1.2041,0.9542,6,220
枸,0.34,1.2041,0.4771,3,261
髂,0.34,1.2041,0.9542,3,304
捻,0.34,1.2041,1.0792,5,261
蓼,0.34,1.2041,0.0,3,261
簪,0.32,1.1761,0.8451,1,279
锶,0.32,1.1761,0.7782,12,277
谄,0.32,1.1761,1.0414,4,260
阮,0.32,1.1761,0.6990000000000001,4,259
镫,0.32,1.1761,1.0,5,305
痂,0.32,1.1761,1.0414,13,278
柩,0.32,1.1761,0.9542,11,305
钴,0.32,1.1761,1.0792,11,277
靥,0.32,1.1761,1.1461,9,306
钹,0.32,1.1761,0.9542,3,221
忸,0.32,1.1761,1.0792,4,261
侨,0.32,1.1761,1.1139,6,220
莹,0.32,1.1761,1.1139,11,220
涣,0.32,1.1761,1.1461,6,306
犟,0.32,1.1761,1.1761,5,305
揄,0.32,1.1761,1.0792,42,276
鹏,0.32,1.1761,1.0414,9,220
敝,0.32,1.1761,1.1461,25,306
疖,0.32,1.1761,1.0414,8,278
艹,0.32,1.1761,0.301,2,263
嘤,0.32,1.1761,0.4771,8,278
绦,0.32,1.1761,0.9031,5,278
畿,0.32,1.1761,1.0,22,278
哐,0.32,1.1761,0.9542,4,277
呒,0.32,1.1761,1.0414,11,262
幡,0.32,1.1761,0.9542,3,278
挞,0.3,1.1461,1.0792,9,305
抿,0.3,1.1461,1.0,5,260
憨,0.3,1.1461,1.0,4,279
渋,0.3,1.1461,0.301,6,303
诛,0.3,1.1461,1.1139,10,278
罹,0.3,1.1461,1.1139,12,220
捋,0.3,1.1461,1.1139,4,304
醚,0.3,1.1461,1.0414,8,220
壬,0.3,1.1461,0.7782,5,219
菁,0.3,1.1461,0.9542,14,277
虞,0.3,1.1461,1.1461,42,276
壹,0.3,1.1461,0.7782,10,278
觑,0.3,1.1461,1.1461,3,305
嶙,0.3,1.1461,1.1139,9,217
桡,0.3,1.1461,1.0414,2,219
叱,0.3,1.1461,1.0414,7,306
佰,0.3,1.1461,0.9031,3,262
邑,0.3,1.1461,1.0,37,306
鸢,0.3,1.1461,0.9031,4,278
殒,0.3,1.1461,1.1461,3,263
媞,0.3,1.1461,0.6021,11,220
钡,0.28,1.1139,0.7782,10,305
摈,0.28,1.1139,1.1139,5,305
忤,0.28,1.1139,1.0414,8,262
蚝,0.28,1.1139,0.9031,6,218
扈,0.28,1.1139,1.1139,8,306
罄,0.28,1.1139,1.1139,3,306
肼,0.28,1.1139,0.4771,9,261
祗,0.28,1.1139,0.6990000000000001,11,278
噌,0.28,1.1139,0.9031,1,278
嫡,0.28,1.1139,0.8451,9,220
隽,0.28,1.1139,0.6021,6,304
啐,0.28,1.1139,1.0414,9,304
薏,0.28,1.1139,0.6021,37,306
擀,0.28,1.1139,0.9031,7,260
阡,0.28,1.1139,0.6021,12,278
拮,0.28,1.1139,1.1139,13,220
辄,0.28,1.1139,1.0792,9,220
铿,0.28,1.1139,0.9031,2,275
槐,0.28,1.1139,1.0414,4,218
坯,0.28,1.1139,1.0414,7,278
恸,0.28,1.1139,1.1139,2,306
娈,0.28,1.1139,1.0792,5,220
藿,0.28,1.1139,0.9542,14,305
鲻,0.28,1.1139,0.6021,13,277
俾,0.28,1.1139,1.0,25,306
烃,0.28,1.1139,0.9542,9,261
铆,0.28,1.1139,0.9031,4,262
庖,0.28,1.1139,1.0792,4,220
讴,0.26,1.0792,0.7782,7,278
蛹,0.26,1.0792,1.0414,12,260
抻,0.26,1.0792,0.9542,3,278
暨,0.26,1.0792,1.0792,24,306
荨,0.26,1.0792,1.0414,8,220
萘,0.26,1.0792,0.7782,4,304
倌,0.26,1.0792,0.8451,7,277
腭,0.26,1.0792,0.9031,14,305
秧,0.26,1.0792,1.0,4,278
釉,0.26,1.0792,1.0,11,306
叵,0.26,1.0792,1.0792,3,262
貉,0.26,1.0792,1.0792,12,219
呎,0.26,1.0792,1.0,5,262
値,0.26,1.0792,0.0,12,220
钍,0.26,1.0792,0.4771,4,262
跩,0.26,1.0792,0.9542,1,261
驮,0.26,1.0792,1.0414,8,220
莨,0.26,1.0792,0.9031,6,219
靛,0.26,1.0792,0.6990000000000001,11,305
咣,0.23,1.0414,0.9542,2,277
钸,0.23,1.0414,0.0,12,304
呓,0.23,1.0414,0.9542,37,306
粤,0.23,1.0414,0.9542,9,304
杈,0.23,1.0414,1.0,5,277
铪,0.23,1.0414,0.301,2,275
庶,0.23,1.0414,1.0,10,306
嬴,0.23,1.0414,1.0,11,220
笞,0.23,1.0414,1.0414,6,278
晔,0.23,1.0414,0.0,9,306
岑,0.23,1.0414,0.8451,2,218
睪,0.23,1.0414,0.301,9,277
糠,0.23,1.0414,0.9031,4,276
觐,0.23,1.0414,0.9031,10,305
蟌,0.23,1.0414,0.0,5,276
戎,0.23,1.0414,1.0,12,217
髻,0.23,1.0414,0.8451,24,306
鲔,0.23,1.0414,0.9542,10,262
轱,0.23,1.0414,0.9031,11,277
呷,0.23,1.0414,1.0,12,219
泮,0.23,1.0414,1.0414,6,305
龛,0.23,1.0414,1.0,3,277
诨,0.23,1.0414,1.0414,2,305
穂,0.23,1.0414,0.301,8,305
馀,0.23,1.0414,0.7782,2,220
冽,0.23,1.0414,0.7782,8,304
槃,0.23,1.0414,1.0414,4,219
荟,0.23,1.0414,1.0,15,306
笈,0.23,1.0414,0.9031,19,220
骁,0.23,1.0414,1.0,15,277
壑,0.21,1.0,1.0,14,305
箕,0.21,1.0,0.7782,22,278
誊,0.21,1.0,0.7782,5,217
氖,0.21,1.0,0.9542,4,260
馥,0.21,1.0,0.8451,16,306
诓,0.21,1.0,0.9542,4,277
鳃,0.21,1.0,0.7782,3,276
郇,0.21,1.0,0.0,7,220
痨,0.21,1.0,1.0,5,220
肏,0.21,1.0,0.6021,1,307
玟,0.21,1.0,0.6021,6,220
旻,0.21,1.0,0.4771,4,218
沱,0.21,1.0,0.7782,8,220
粽,0.21,1.0,0.8451,2,305
蹚,0.21,1.0,0.9031,3,278
靖,0.21,1.0,0.8451,12,305
膺,0.21,1.0,0.7782,8,278
酞,0.21,1.0,0.9031,7,305
溴,0.21,1.0,0.9542,6,305
佝,0.21,1.0,0.7782,6,305
螫,0.21,1.0,0.7782,2,278
浜,0.21,1.0,0.6990000000000001,4,277
祠,0.21,1.0,0.9031,9,219
耦,0.21,1.0,0.9031,4,262
痱,0.21,1.0,1.0,8,306
饕,0.19,0.9542,0.9542,5,278
沁,0.19,0.9542,0.9542,1,306
秆,0.19,0.9542,0.7782,7,260
舶,0.19,0.9542,0.9542,15,220
菏,0.19,0.9542,0.7782,12,219
撷,0.19,0.9542,0.9031,12,220
蕨,0.19,0.9542,0.9031,13,218
锲,0.19,0.9542,0.8451,6,305
垛,0.19,0.9542,0.9542,3,261
婌,0.19,0.9542,0.0,12,278
氙,0.19,0.9542,0.7782,6,278
呔,0.19,0.9542,0.9031,3,277
瘙,0.19,0.9542,0.9542,4,276
糯,0.19,0.9542,0.9031,4,304
俸,0.19,0.9542,0.8451,4,305
鹬,0.19,0.9542,0.7782,42,276
跶,0.19,0.9542,0.7782,9,305
氡,0.19,0.9542,0.7782,5,277
硼,0.19,0.9542,0.8451,9,220
楝,0.19,0.9542,0.8451,7,305
菅,0.19,0.9542,0.9542,16,277
檞,0.19,0.9542,0.7782,4,262
鲣,0.19,0.9542,0.7782,16,277
绺,0.19,0.9542,0.9031,4,262
佘,0.19,0.9542,0.6021,3,220
骶,0.19,0.9542,0.7782,4,262
黍,0.19,0.9542,0.9031,9,262
哽,0.19,0.9542,0.9542,5,260
涓,0.19,0.9542,0.6021,3,276
卅,0.19,0.9542,0.6990000000000001,2,305
剜,0.19,0.9542,0.9031,4,278
愕,0.19,0.9542,0.9031,14,305
忖,0.19,0.9542,0.9542,1,263
娑,0.19,0.9542,0.7782,6,276
桁,0.19,0.9542,0.7782,6,218
鲷,0.19,0.9542,0.9542,6,277
皙,0.19,0.9542,0.9542,24,278
恻,0.19,0.9542,0.9031,5,303
庚,0.19,0.9542,0.9031,4,276
岚,0.19,0.9542,0.4771,8,219
荔,0.19,0.9542,0.9031,23,306
刳,0.19,0.9542,0.0,7,277
贲,0.17,0.9031,0.7782,25,306
媾,0.17,0.9031,0.8451,5,305
湄,0.17,0.9031,0.6990000000000001,13,219
氚,0.17,0.9031,0.0,3,278
柰,0.17,0.9031,0.301,4,304
嘬,0.17,0.9031,0.6021,2,304
韭,0.17,0.9031,0.8451,6,261
镉,0.17,0.9031,0.6990000000000001,8,278
毎,0.17,0.9031,0.0,6,261
纾,0.17,0.9031,0.7782,12,278
晖,0.17,0.9031,0.7782,6,278
炔,0.17,0.9031,0.9031,2,277
甬,0.17,0.9031,0.4771,12,260
迺,0.17,0.9031,0.6021,4,260
逡,0.17,0.9031,0.9031,1,277
骐,0.17,0.9031,0.6990000000000001,23,220
獒,0.17,0.9031,0.6990000000000001,8,219
沪,0.17,0.9031,0.0,8,306
鲛,0.17,0.9031,0.4771,14,277
帛,0.17,0.9031,0.9031,15,220
旌,0.17,0.9031,0.4771,14,277
雉,0.17,0.9031,0.7782,22,306
潸,0.17,0.9031,0.9031,12,277
锰,0.17,0.9031,0.8451,4,261
冢,0.17,0.9031,0.6990000000000001,4,261
尕,0.17,0.9031,0.0,1,261
铡,0.17,0.9031,0.6990000000000001,3,220
榎,0.17,0.9031,0.4771,5,262
珥,0.15,0.8451,0.6021,5,261
瑶,0.15,0.8451,0.6990000000000001,9,220
铢,0.15,0.8451,0.4771,10,278
桀,0.15,0.8451,0.6990000000000001,13,220
硌,0.15,0.8451,0.8451,4,306
祺,0.15,0.8451,0.4771,23,220
鮎,0.15,0.8451,0.0,6,219
樋,0.15,0.8451,0.0,3,278
唰,0.15,0.8451,0.7782,2,276
禾,0.15,0.8451,0.7782,12,219
痍,0.15,0.8451,0.8451,16,220
竜,0.15,0.8451,0.0,8,217
瓯,0.15,0.8451,0.0,7,278
倭,0.15,0.8451,0.6021,4,277
龇,0.15,0.8451,0.8451,13,277
贻,0.15,0.8451,0.7782,16,220
饴,0.15,0.8451,0.8451,16,220
弭,0.15,0.8451,0.7782,4,262
鸫,0.15,0.8451,0.6990000000000001,5,277
硒,0.15,0.8451,0.6021,24,278
祼,0.15,0.8451,0.301,8,305
飨,0.15,0.8451,0.4771,4,262
镓,0.15,0.8451,0.6021,13,278
珐,0.15,0.8451,0.7782,2,261
宥,0.15,0.8451,0.301,11,306
沭,0.15,0.8451,0.301,10,306
殓,0.15,0.8451,0.6990000000000001,7,305
嗵,0.15,0.8451,0.4771,3,278
挻,0.15,0.8451,0.4771,12,277
桎,0.15,0.8451,0.8451,22,306
廖,0.15,0.8451,0.4771,5,305
仟,0.15,0.8451,0.6021,12,278
襄,0.15,0.8451,0.8451,7,278
辕,0.15,0.8451,0.7782,15,220
庵,0.15,0.8451,0.6021,6,277
钯,0.15,0.8451,0.4771,4,219
僮,0.15,0.8451,0.6990000000000001,9,220
倜,0.15,0.8451,0.7782,11,306
陲,0.15,0.8451,0.8451,6,218
纂,0.15,0.8451,0.7782,1,261
怔,0.15,0.8451,0.7782,9,277
峨,0.13,0.7782,0.6021,9,219
埠,0.13,0.7782,0.7782,12,304
谗,0.13,0.7782,0.7782,7,218
鹜,0.13,0.7782,0.6990000000000001,13,306
囫,0.13,0.7782,0.6990000000000001,10,220
颦,0.13,0.7782,0.7782,4,220
瓤,0.13,0.7782,0.7782,2,220
钋,0.13,0.7782,0.6021,4,278
韶,0.13,0.7782,0.7782,2,220
噔,0.13,0.7782,0.301,3,277
锑,0.13,0.7782,0.7782,11,306
弋,0.13,0.7782,0.7782,37,306
徳,0.13,0.7782,0.6021,3,218
棠,0.13,0.7782,0.6990000000000001,12,220
鳀,0.13,0.7782,0.6021,11,220
侊,0.13,0.7782,0.301,12,277
殇,0.13,0.7782,0.6990000000000001,4,277
皋,0.13,0.7782,0.301,9,277
矾,0.13,0.7782,0.6021,10,220
轭,0.13,0.7782,0.6021,14,305
僭,0.13,0.7782,0.6990000000000001,19,305
萩,0.13,0.7782,0.4771,5,277
髁,0.13,0.7782,0.7782,11,278
熵,0.13,0.7782,0.7782,4,277
牍,0.13,0.7782,0.7782,8,306
忾,0.13,0.7782,0.7782,2,306
泱,0.13,0.7782,0.6021,4,278
羸,0.13,0.7782,0.7782,4,220
菰,0.13,0.7782,0.4771,11,277
嶋,0.13,0.7782,0.4771,6,261
姣,0.13,0.7782,0.6990000000000001,14,277
蜱,0.13,0.7782,0.6021,8,220
伕,0.13,0.7782,0.4771,8,278
阖,0.13,0.7782,0.6021,12,219
胥,0.13,0.7782,0.6021,8,277
劵,0.13,0.7782,0.6021,6,304
鞜,0.13,0.7782,0.301,9,305
闰,0.13,0.7782,0.6990000000000001,2,303
珞,0.13,0.7782,0.6021,7,305
鸾,0.11,0.6990000000000001,0.6990000000000001,5,220
莆,0.11,0.6990000000000001,0.0,9,220
骥,0.11,0.6990000000000001,0.6021,24,306
怵,0.11,0.6990000000000001,0.6990000000000001,4,306
椽,0.11,0.6990000000000001,0.6990000000000001,3,220
荠,0.11,0.6990000000000001,0.4771,24,306
寅,0.11,0.6990000000000001,0.301,6,220
诏,0.11,0.6990000000000001,0.4771,7,305
郞,0.11,0.6990000000000001,0.6990000000000001,6,219
卞,0.11,0.6990000000000001,0.6021,7,305
蝻,0.11,0.6990000000000001,0.0,3,261
蹴,0.11,0.6990000000000001,0.6990000000000001,7,304
潞,0.11,0.6990000000000001,0.0,13,305
箐,0.11,0.6990000000000001,0.6021,3,306
胄,0.11,0.6990000000000001,0.6990000000000001,5,306
朊,0.11,0.6990000000000001,0.6021,4,259
蛟,0.11,0.6990000000000001,0.301,14,277
蹙,0.11,0.6990000000000001,0.4771,7,304
埼,0.11,0.6990000000000001,0.6021,23,220
咘,0.11,0.6990000000000001,0.6021,12,304
脍,0.11,0.6990000000000001,0.6990000000000001,7,303
轼,0.11,0.6990000000000001,0.4771,29,306
跐,0.11,0.6990000000000001,0.0,3,261
梶,0.11,0.6990000000000001,0.0,10,262
栎,0.11,0.6990000000000001,0.301,23,306
缬,0.11,0.6990000000000001,0.6021,12,220
聩,0.11,0.6990000000000001,0.6990000000000001,5,305
瘆,0.11,0.6990000000000001,0.6990000000000001,5,306
邵,0.11,0.6990000000000001,0.4771,4,306
呲,0.11,0.6990000000000001,0.6990000000000001,2,279
哏,0.11,0.6990000000000001,0.4771,1,220
嘌,0.11,0.6990000000000001,0.4771,3,277
熹,0.11,0.6990000000000001,0.301,24,278
尧,0.11,0.6990000000000001,0.301,9,220
耆,0.11,0.6990000000000001,0.301,23,220
枱,0.11,0.6990000000000001,0.301,11,305
廋,0.11,0.6990000000000001,0.6021,5,275
袄,0.11,0.6990000000000001,0.6990000000000001,2,263
泾,0.11,0.6990000000000001,0.6021,14,277
鹞,0.11,0.6990000000000001,0.6021,4,306
阙,0.11,0.6990000000000001,0.4771,5,305
褡,0.11,0.6990000000000001,0.6021,5,278
坳,0.11,0.6990000000000001,0.6021,2,277
掬,0.11,0.6990000000000001,0.6990000000000001,6,220
篦,0.11,0.6990000000000001,0.4771,25,306
甾,0.11,0.6990000000000001,0.4771,4,277
鳎,0.11,0.6990000000000001,0.4771,9,305
毖,0.11,0.6990000000000001,0.301,25,306
朲,0.11,0.6990000000000001,0.0,5,219
袅,0.11,0.6990000000000001,0.4771,2,260
嵴,0.11,0.6990000000000001,0.6021,6,262
砟,0.11,0.6990000000000001,0.301,2,262
鳝,0.11,0.6990000000000001,0.4771,11,305
嘁,0.11,0.6990000000000001,0.6021,10,278
掼,0.11,0.6990000000000001,0.301,8,305
嗟,0.11,0.6990000000000001,0.6990000000000001,8,278
蠹,0.11,0.6990000000000001,0.6990000000000001,8,306
祯,0.11,0.6990000000000001,0.6021,11,277
撘,0.09,0.6021,0.6021,5,278
钎,0.09,0.6021,0.301,12,278
炷,0.09,0.6021,0.4771,10,306
裇,0.09,0.6021,0.4771,8,277
蹉,0.09,0.6021,0.6021,4,276
汛,0.09,0.6021,0.0,7,305
粑,0.09,0.6021,0.301,7,279
狎,0.09,0.6021,0.6021,12,219
痩,0.09,0.6021,0.4771,9,305
镕,0.09,0.6021,0.4771,12,217
跖,0.09,0.6021,0.6021,12,220
眦,0.09,0.6021,0.6021,5,305
炕,0.09,0.6021,0.301,2,304
锗,0.09,0.6021,0.301,2,262
泸,0.09,0.6021,0.301,8,219
髭,0.09,0.6021,0.301,13,277
铱,0.09,0.6021,0.4771,10,278
诹,0.09,0.6021,0.301,2,278
礒,0.09,0.6021,0.0,8,262
嗥,0.09,0.6021,0.6021,6,218
鳐,0.09,0.6021,0.301,9,220
倏,0.09,0.6021,0.6021,10,306
瑢,0.09,0.6021,0.0,12,217
谘,0.09,0.6021,0.6021,13,277
昴,0.09,0.6021,0.6021,3,263
髌,0.09,0.6021,0.4771,5,305
屣,0.09,0.6021,0.6021,6,262
鳌,0.09,0.6021,0.6021,8,219
祇,0.09,0.6021,0.6021,11,262
髈,0.09,0.6021,0.0,4,261
镬,0.09,0.6021,0.4771,14,305
镴,0.09,0.6021,0.301,6,304
茕,0.09,0.6021,0.301,4,217
馐,0.09,0.6021,0.4771,5,277
驽,0.09,0.6021,0.0,2,219
苫,0.09,0.6021,0.0,12,277
醌,0.09,0.6021,0.0,4,277
彤,0.09,0.6021,0.4771,9,220
鸸,0.09,0.6021,0.6021,3,219
樫,0.09,0.6021,0.301,16,277
禹,0.09,0.6021,0.301,9,260
藜,0.09,0.6021,0.6021,12,220
俪,0.09,0.6021,0.6021,23,306
翟,0.09,0.6021,0.301,2,219
瘘,0.09,0.6021,0.4771,3,305
绛,0.09,0.6021,0.6021,5,305
谒,0.09,0.6021,0.4771,9,306
噁,0.09,0.6021,0.301,2,261
荪,0.09,0.6021,0.301,2,277
髯,0.09,0.6021,0.301,3,218
绀,0.09,0.6021,0.6021,1,306
喹,0.09,0.6021,0.6021,5,219
骻,0.09,0.6021,0.301,3,305
黒,0.09,0.6021,0.6021,3,275
涝,0.09,0.6021,0.4771,2,306
貘,0.09,0.6021,0.0,13,306
钨,0.09,0.6021,0.6021,13,306
蟊,0.09,0.6021,0.6021,5,219
骍,0.09,0.6021,0.0,6,278
槭,0.09,0.6021,0.4771,7,304
蔵,0.09,0.6021,0.0,4,304
讫,0.09,0.6021,0.6021,13,306
腈,0.09,0.6021,0.4771,14,277
汨,0.09,0.6021,0.301,8,306
囟,0.09,0.6021,0.4771,2,304
幂,0.09,0.6021,0.0,8,306
搧,0.09,0.6021,0.6021,12,277
寮,0.09,0.6021,0.6021,8,219
辊,0.06,0.4771,0.4771,2,260
茗,0.06,0.4771,0.4771,7,219
铋,0.06,0.4771,0.4771,25,306
呋,0.06,0.4771,0.4771,8,278
圡,0.06,0.4771,0.0,4,262
绥,0.06,0.4771,0.4771,2,277
锔,0.06,0.4771,0.301,11,278
鲥,0.06,0.4771,0.0,10,220
笹,0.06,0.4771,0.4771,11,306
晌,0.06,0.4771,0.4771,2,261
缱,0.06,0.4771,0.4771,4,262
孖,0.06,0.4771,0.0,13,277
靳,0.06,0.4771,0.301,10,305
虬,0.06,0.4771,0.301,9,219
墠,0.06,0.4771,0.0,11,305
祢,0.06,0.4771,0.4771,8,220
狨,0.06,0.4771,0.301,12,217
姝,0.06,0.4771,0.4771,12,278
翳,0.06,0.4771,0.301,37,306
埂,0.06,0.4771,0.301,5,260
膦,0.06,0.4771,0.301,3,305
杓,0.06,0.4771,0.301,8,276
泠,0.06,0.4771,0.301,19,220
橹,0.06,0.4771,0.4771,6,261
菫,0.06,0.4771,0.0,6,261
藁,0.06,0.4771,0.301,3,261
颔,0.06,0.4771,0.4771,11,305
榖,0.06,0.4771,0.4771,7,261
悱,0.06,0.4771,0.4771,6,262
舝,0.06,0.4771,0.0,12,219
肟,0.06,0.4771,0.4771,7,305
痧,0.06,0.4771,0.4771,8,278
浬,0.06,0.4771,0.301,9,262
赓,0.06,0.4771,0.0,4,276
蚶,0.06,0.4771,0.0,4,279
溏,0.06,0.4771,0.4771,12,220
鲀,0.06,0.4771,0.0,5,219
蓑,0.06,0.4771,0.301,6,276
鹾,0.06,0.4771,0.301,2,220
癍,0.06,0.4771,0.4771,8,277
仄,0.06,0.4771,0.4771,1,305
蕈,0.06,0.4771,0.4771,7,305
矽,0.06,0.4771,0.4771,24,278
挈,0.06,0.4771,0.4771,6,305
纡,0.06,0.4771,0.4771,42,276
楯,0.06,0.4771,0.0,2,260
箝,0.06,0.4771,0.4771,8,220
撸,0.06,0.4771,0.4771,2,279
霭,0.06,0.4771,0.4771,3,262
魟,0.06,0.4771,0.4771,4,277
镗,0.06,0.4771,0.4771,3,278
稗,0.06,0.4771,0.0,4,306
炆,0.06,0.4771,0.4771,6,220
敕,0.06,0.4771,0.301,7,306
鏊,0.06,0.4771,0.0,8,219
厶,0.04,0.301,0.0,12,277
桲,0.04,0.301,0.0,15,220
瘢,0.04,0.301,0.301,8,277
腘,0.04,0.301,0.301,4,220
滝,0.04,0.301,0.301,8,217
湲,0.04,0.301,0.0,15,220
莙,0.04,0.301,0.0,5,276
窨,0.04,0.301,0.301,4,306
瞿,0.04,0.301,0.301,10,277
檫,0.04,0.301,0.301,6,219
舛,0.04,0.301,0.301,2,262
翎,0.04,0.301,0.0,19,220
